FoodName,Calories,Protein,Carbohydrates,Fats
"Chicken Breast (100g)",165,31,0,3.6
"Beef Sirloin (100g)",250,26,0,15
"Salmon Fillet (100g)",208,20,0,13
"Egg (1 large)",78,6,0.6,5
"Greek Yogurt (100g)",59,10,3.6,0.4
"Milk (Whole, 240ml)",149,8,12,8
"Brown Rice (100g cooked)",111,2.6,23,0.9
"White Rice (100g cooked)",130,2.7,28,0.3
"Quinoa (100g cooked)",120,4.4,21,1.9
"Oats (100g dry)",389,16.9,66,6.9
"Broccoli (100g)",34,2.8,7,0.4
"Spinach (100g raw)",23,2.9,3.6,0.4
"Sweet Potato (100g)",86,1.6,20,0.1
"Potato (100g)",77,2,17,0.1
"Banana (1 medium)",105,1.3,27,0.4
"Apple (1 medium)",95,0.5,25,0.3
"Orange (1 medium)",62,1.2,15,0.2
"Avocado (100g)",160,2,8.5,14.7
"Almonds (28g)",164,6,6,14
"Peanut Butter (1 tbsp)",94,4,3,8
"Lentils (100g cooked)",116,9,20,0.4
"Chickpeas (100g cooked)",164,8.9,27,2.6
"Tofu (100g)",76,8,1.9,4.8
"Cheddar Cheese (28g)",114,7,0.4,9
"Pasta (100g cooked)",131,5,25,1.1
"Bread (Whole Wheat, 1 slice)",69,3.6,12,0.9
"Turkey Breast (100g)",135,30,0,1
"Blueberries (100g)",57,0.7,14,0.3
"Strawberries (100g)",32,0.7,7.7,0.3
"Carrots (100g raw)",41,0.9,10,0.2
"Cucumber (100g)",15,0.7,3.6,0.1
"Tomato (1 medium)",22,1,5,0.2
"Onion (100g)",40,1.1,9,0.1
"Garlic (1 clove)",4,0.2,1,0
"Olive Oil (1 tbsp)",119,0,0,13.5
"Butter (1 tbsp)",102,0.1,0,11.5
"Walnuts (28g)",185,4.3,3.9,18.5
"Cashews (28g)",157,5,9,12
"Cottage Cheese (100g)",98,11,3.4,4.3
"Tuna (Canned in water, 100g)",116,26,0,1
"Pork Chop (100g)",242,27,0,14
"Shrimp (100g)",99,24,0,0.3
"Black Beans (100g cooked)",132,8.9,23.7,0.5
"Kidney Beans (100g cooked)",127,8.7,22.8,0.5
"Soybeans (100g cooked)",173,16.6,9.9,9
"Hummus (1 tbsp)",25,1,2,1.5
"Quark (100g)",68,12,3,0.1
"Honey (1 tbsp)",64,0,17,0
"Dark Chocolate (28g, 70-85% cocoa)",170,2.2,13,12
"Popcorn (Air-popped, 1 cup)",31,1,6,0.4
"Kale (100g raw)",49,4.3,8.8,0.9
"Asparagus (100g)",20,2.2,3.9,0.1
"Green Beans (100g)",31,1.8,7,0.2
"Zucchini (100g)",17,1.2,3.1,0.3
"Bell Pepper (100g)",31,1,6,0.3
"Mushrooms (White, 100g)",22,3.1,3.3,0.3
"Eggplant (100g)",25,1,6,0.2
"Cabbage (100g)",25,1.3,5.8,0.1
"Cauliflower (100g)",25,1.9,5,0.3
"Bacon (1 slice)",54,4,0,4
"Ham (100g)",145,21,1.5,6
"Salmon (Smoked, 100g)",117,18,0,4.3
"Sardines (Canned in oil, 100g)",208,25,0,11.5
"Pistachios (28g)",159,5.7,7.7,12.8
"Pumpkin Seeds (28g)",151,7,5,13
"Chia Seeds (28g)",138,4.7,12,8.6
"Flaxseeds (1 tbsp)",37,1.3,2,3
"Greek Salad (1 cup)",106,3,7,8
"Caesar Salad (1 cup)",190,4,8,16
"Lentil Soup (1 cup)",159,10,21,3.6
"Chicken Noodle Soup (1 cup)",75,4,9,2.5
"Tomato Soup (1 cup)",90,2,15,3
"Miso Soup (1 cup)",40,3,3,2
"Basmati Rice (100g cooked)",121,3.5,25,0.4
"Couscous (100g cooked)",112,3.8,23,0.2
"Bulgur (100g cooked)",83,3,18.6,0.2
"Pear (1 medium)",101,0.6,27,0.3
"Peach (1 medium)",59,1.4,14,0.4
"Plum (1 medium)",30,0.5,7.5,0.2
"Grapes (100g)",69,0.7,18,0.2
"Pineapple (100g)",50,0.5,13,0.1
"Mango (100g)",60,0.8,15,0.4
"Watermelon (100g)",30,0.6,7.6,0.2
"Cantaloupe (100g)",34,0.8,8,0.2
"Raspberries (100g)",52,1.2,12,0.7
"Blackberries (100g)",43,1.4,9.6,0.5
"Goji Berries (28g dry)",98,4,22,0.1
"Coconut Water (240ml)",45,0.5,11,0
"Coconut Milk (Full fat, 100g)",230,2.3,5.5,23.8
"Almond Milk (Unsweetened, 240ml)",30,1,1,2.5
"Soy Milk (Unsweetened, 240ml)",80,7,4,4
"Oat Milk (240ml)",120,3,16,5
"Tofu (Firm, 100g)",144,15.8,3.9,8.7
"Tempeh (100g)",192,19,9,11
"Seitan (100g)",370,75,14,1.9
"Edamame (100g shelled)",122,11,10,5
"Quinoa Flour (100g)",393,14,64,6
"Buckwheat (100g cooked)",92,3.4,20,0.6
"Spelt (100g cooked)",127,5.5,26,0.9
"Amaranth (100g cooked)",103,3.8,18.7,1.6
